hud_area_code,hud_areaname,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4
METRO30340M30340,"Lewiston-Auburn, ME MSA",778,869,1104,1451,1641
METRO30460M30460,"Lexington-Fayette, KY MSA",760,909,1103,1503,1738
METRO30620M30620,"Lima, OH MSA",704,728,915,1164,1335
METRO30700M30700,"Lincoln, NE HUD Metro FMR Area",733,828,1050,1470,1657
METRO30700N31159,"Seward County, NE HUD Metro FMR Area",615,676,877,1215,1494
METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",844,859,982,1309,1567
METRO30780N05053,"Grant County, AR HUD Metro FMR Area",713,726,829,1056,1320
METRO30860M30860,"Logan, UT-ID MSA",675,804,1001,1423,1705
METRO30980M30980,"Longview, TX HUD Metro FMR Area",819,901,1072,1494,1659
METRO30980M48203,"Harrison County, TX HUD Metro FMR Area",789,812,1069,1301,1436
METRO30980N48401,"Rusk County, TX HUD Metro FMR Area",732,737,970,1219,1377
METRO31020M31020,"Longview, WA MSA",794,943,1187,1687,2022
METRO31080MM4480,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",1690,1925,2448,3181,3493
METRO31080MM5945,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",2087,2274,2733,3712,4340
METRO31140M31140,"Louisville, KY-IN HUD Metro FMR Area",825,931,1119,1483,1704
METRO31140N18175,"Washington County, IN HUD Metro FMR Area",653,672,885,1179,1189
METRO31140N21211,"Shelby County, KY HUD Metro FMR Area",728,781,991,1267,1466
METRO31180M31180,"Lubbock, TX HUD Metro FMR Area",771,889,1080,1513,1775
METRO31180N48305,"Lynn County, TX HUD Metro FMR Area",774,892,1082,1538,1843
METRO31340M31340,"Lynchburg, VA MSA",858,873,991,1347,1485
METRO31420M31420,"Macon-Bibb County, GA HUD Metro FMR Area",779,907,1049,1306,1409
METRO31420N13207,"Monroe County, GA HUD Metro FMR Area",711,833,941,1145,1603
METRO31460M31460,"Madera, CA MSA",1042,1048,1355,1922,2123
METRO31540M31540,"Madison, WI HUD Metro FMR Area",1077,1265,1474,1936,2183
METRO31540N55021,"Columbia County, WI HUD Metro FMR Area",721,820,1079,1533,1600
METRO31540N55045,"Green County, WI HUD Metro FMR Area",750,757,996,1212,1338
METRO31540N55049,"Iowa County, WI HUD Metro FMR Area",773,780,1027,1331,1459
METRO31700MM4760,"Manchester, NH HUD Metro FMR Area",1206,1354,1763,2146,2416
METRO31700MM5350,"Nashua, NH HUD Metro FMR Area",1282,1456,1917,2459,2653
METRO31700N33011,"Hillsborough County, NH (part) HUD Metro FMR Area",1132,1140,1500,1913,2238
METRO31740M20061,"Geary County, KS HUD Metro FMR Area",701,706,929,1320,1579
METRO31740M31740,"Manhattan, KS HUD Metro FMR Area",824,829,1019,1340,1736
METRO31860M31860,"Mankato-North Mankato, MN MSA",887,905,1131,1583,1926
METRO31900M31900,"Mansfield, OH MSA",592,662,848,1146,1343
METRO32420M32420,"Mayagüez, PR MSA",469,479,541,658,833
METRO32580M32580,"McAllen-Edinburg-Mission, TX MSA",737,742,938,1220,1344
METRO32780M32780,"Medford, OR MSA",915,1039,1368,1944,2330
METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",853,962,1100,1455,1689
METRO32820N28093,"Marshall County, MS HUD Metro FMR Area",689,750,889,1082,1382
METRO32820N28137,"Tate County, MS HUD Metro FMR Area",635,726,820,1079,1243
METRO32820N28143,"Tunica County, MS HUD Metro FMR Area",843,847,983,1196,1321
METRO32900M32900,"Merced, CA MSA",918,1093,1336,1899,2276
METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",1461,1580,1975,2761,3364
METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1472,1670,2078,2734,3239
METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",1365,1670,2042,2728,3337
METRO33140M33140,"Michigan City-La Porte, IN MSA",655,790,980,1271,1409
METRO33220M33220,"Midland, MI MSA",757,790,1036,1391,1482
METRO33260M33260,"Midland, TX HUD Metro FMR Area",1226,1233,1468,1855,2501
METRO33260N48317,"Martin County, TX HUD Metro FMR Area",732,737,877,1246,1494
METRO33340M33340,"Milwaukee-Waukesha-West Allis, WI MSA",818,971,1167,1469,1602
METRO33460M33460,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",1086,1239,1520,2066,2382
METRO33460N27079,"Le Sueur County, MN HUD Metro FMR Area",762,809,1065,1474,1741
METRO33460N27095,"Mille Lacs County, MN HUD Metro FMR Area",716,804,1058,1492,1802
METRO33540M33540,"Missoula, MT MSA",842,968,1196,1672,2037
METRO33660M01129,"Washington County, AL HUD Metro FMR Area",679,731,907,1104,1286
METRO33660M33660,"Mobile, AL HUD Metro FMR Area",787,846,1052,1406,1493
METRO33700M33700,"Modesto, CA MSA",1109,1144,1457,2059,2410
METRO33740M22067,"Morehouse Parish, LA HUD Metro FMR Area",640,644,778,989,1325
METRO33740M33740,"Monroe, LA HUD Metro FMR Area",706,711,936,1162,1257
METRO33780M33780,"Monroe, MI MSA",760,866,1136,1449,1855
METRO33860M33860,"Montgomery, AL MSA",773,882,1055,1340,1722
METRO34060M34060,"Morgantown, WV MSA",829,834,1045,1370,1780
METRO34100M34100,"Morristown, TN HUD Metro FMR Area",682,687,894,1222,1402
METRO34100M47057,"Grainger County, TN HUD Metro FMR Area",602,606,798,1068,1072
METRO34580M34580,"Mount Vernon-Anacortes, WA MSA",1007,1189,1506,2140,2485
METRO34620M34620,"Muncie, IN MSA",687,740,909,1227,1285
METRO34740M34740,"Muskegon, MI MSA",712,811,1053,1317,1415
METRO34820M34820,"Myrtle Beach-North Myrtle Beach-Conway, SC HUD Metro FMR Area",1025,1052,1211,1544,1743
METRO34820M48900,"Brunswick County, NC HUD Metro FMR Area",901,926,1046,1487,1782
METRO34900M34900,"Napa, CA MSA",1724,1959,2578,3550,3597
METRO34940M34940,"Naples-Immokalee-Marco Island, FL MSA",1383,1577,1928,2571,2654
METRO34980M34980,"Nashville-Davidson--Murfreesboro--Franklin, TN HUD Metro FMR Area",1323,1353,1528,1910,2361
METRO34980N47111,"Macon County, TN HUD Metro FMR Area",666,670,882,1107,1345
METRO34980N47119,"Maury County, TN HUD Metro FMR Area",952,958,1261,1682,1780
METRO34980N47159,"Smith County, TN HUD Metro FMR Area",574,645,849,1104,1178
METRO35100N37049,"Craven County, NC HUD Metro FMR Area",878,884,1157,1553,1971
METRO35100N37103,"Jones County, NC HUD Metro FMR Area",626,630,829,1151,1155
METRO35100N37137,"Pamlico County, NC HUD Metro FMR Area",790,796,1042,1268,1618
METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",1184,1516,1771,2155,3017
METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",1295,1439,1757,2158,2435
METRO35300MM8880,"Waterbury, CT HUD Metro FMR Area",952,1151,1424,1815,2189
METRO35380M35380,"New Orleans-Metairie, LA HUD Metro FMR Area",910,1075,1268,1635,1898
METRO35380N22093,"St. James Parish, LA HUD Metro FMR Area",670,709,933,1326,1399
METRO35620MM0875,"Bergen-Passaic, NJ HUD Metro FMR Area",1428,1706,1980,2459,3090
METRO35620MM3640,"Jersey City, NJ HUD Metro FMR Area",1934,1995,2288,2825,3074
METRO35620MM5015,"Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area",1431,1623,2054,2500,2759
METRO35620MM5190,"Monmouth-Ocean, NJ HUD Metro FMR Area",1230,1372,1719,2353,2619
METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",1652,2059,2470,3175,3489
METRO35620MM5600,"New York, NY HUD Metro FMR Area",2273,2323,2624,3296,3551
METRO35620MM5640,"Newark, NJ HUD Metro FMR Area",1216,1442,1730,2195,2579
METRO35620MM5660,"Pike County, PA HUD Metro FMR Area",1157,1165,1533,1996,2561
METRO35660M35660,"Niles-Benton Harbor, MI MSA",764,782,1017,1306,1451
METRO35840M35840,"North Port-Sarasota-Bradenton, FL MSA",1150,1378,1720,2281,2715
METRO35980M35980,"Norwich-New London, CT HUD Metro FMR Area",1030,1251,1541,1996,2625
METRO35980MM3280,"Colchester-Lebanon, CT HUD Metro FMR Area",1090,1238,1630,2221,2776
METRO36100M36100,"Ocala, FL MSA",915,983,1210,1549,1682
METRO36140M36140,"Ocean City, NJ MSA",1133,1276,1680,2085,2257
METRO36220M36220,"Odessa, TX MSA",954,960,1264,1538,1771
METRO36260M36260,"Ogden-Clearfield, UT HUD Metro FMR Area",1015,1107,1353,1861,2256
METRO36260N49003,"Box Elder County, UT HUD Metro FMR Area",684,768,990,1340,1609
METRO36420M36420,"Oklahoma City, OK HUD Metro FMR Area",824,873,1080,1439,1633
METRO36420N40051,"Grady County, OK HUD Metro FMR Area",631,665,875,1154,1345
METRO36420N40081,"Lincoln County, OK HUD Metro FMR Area",731,736,853,1155,1160
METRO36500M36500,"Olympia-Tumwater, WA MSA",1204,1329,1555,2210,2649
METRO36540M36540,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area",847,940,1146,1533,1705
METRO36540N31155,"Saunders County, NE HUD Metro FMR Area",679,733,916,1115,1394
METRO36740M36740,"Orlando-Kissimmee-Sanford, FL MSA",1445,1536,1745,2229,2703
METRO36780M36780,"Oshkosh-Neenah, WI MSA",770,799,1031,1393,1623
METRO36980M36980,"Owensboro, KY MSA",743,748,985,1300,1323
METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",1863,2189,2653,3685,4334
METRO37340M37340,"Palm Bay-Melbourne-Titusville, FL MSA",1038,1233,1483,1978,2354
METRO37460M37460,"Panama City, FL MSA",1142,1216,1408,1934,2398
METRO37620M37620,"Parkersburg-Vienna, WV MSA",726,730,862,1169,1229
METRO37860M37860,"Pensacola-Ferry Pass-Brent, FL MSA",1037,1077,1250,1737,2129
METRO37900M17057,"Fulton County, IL HUD Metro FMR Area",655,659,868,1068,1426
METRO37900M37900,"Peoria, IL HUD Metro FMR Area",683,755,957,1243,1293
METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1166,1314,1585,1929,2242
METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",1450,1584,1878,2575,2931
METRO38220M38220,"Pine Bluff, AR MSA",617,659,867,1091,1165
METRO38300M38300,"Pittsburgh, PA HUD Metro FMR Area",932,977,1178,1498,1637
METRO38300N42005,"Armstrong County, PA HUD Metro FMR Area",633,725,947,1164,1425
METRO38340M38340,"Pittsfield, MA HUD Metro FMR Area",984,1161,1472,1881,1989
METRO38340N25003,"Berkshire County, MA (part) HUD Metro FMR Area",1010,1148,1511,1839,2219
METRO38540M16077,"Power County, ID HUD Metro FMR Area",640,727,957,1360,1630
METRO38540M38540,"Pocatello, ID HUD Metro FMR Area",629,715,941,1337,1603
METRO38660M38660,"Ponce, PR MSA",450,460,520,733,823
METRO38860MM6400,"Portland, ME HUD Metro FMR Area",1341,1563,2006,2529,2948
METRO38860MM6450,"York-Kittery-South Berwick, ME HUD Metro FMR Area",1196,1339,1762,2429,3001
METRO38860N23005,"Cumberland County, ME (part) HUD Metro FMR Area",1068,1196,1574,1985,2145
METRO38860N23023,"Sagadahoc County, ME HUD Metro FMR Area",870,1069,1301,1777,2123
METRO38860N23031,"York County, ME (part) HUD Metro FMR Area",1118,1179,1463,1901,2139
METRO38900M38900,"Portland-Vancouver-Hillsboro, OR-WA MSA",1574,1689,1930,2702,3143
METRO38940M38940,"Port St. Lucie, FL MSA",1240,1248,1569,2119,2438
METRO39100M39100,"Poughkeepsie-Newburgh-Middletown, NY MSA",1218,1333,1712,2180,2420
METRO39150M39150,"Prescott Valley-Prescott, AZ MSA",929,1130,1389,1919,2218
METRO39300M39300,"Providence-Fall River, RI-MA HUD Metro FMR Area",1160,1275,1534,1867,2306
METRO39300MM1120,"Taunton-Mansfield-Norton, MA HUD Metro FMR Area",1176,1339,1759,2215,2422
METRO39300MM1200,"Easton-Raynham, MA HUD Metro FMR Area",1748,1759,2316,2819,3490
METRO39300MM5400,"New Bedford, MA HUD Metro FMR Area",937,1106,1350,1643,1814
METRO39300MM5520,"Westerly-Hopkinton-New Shoreham, RI HUD Metro FMR Area",1265,1272,1519,1990,2587
METRO39300N44005,"Newport-Middleton-Portsmouth, RI HUD Metro FMR Area",1585,1618,2095,2809,3468
METRO39340M39340,"Provo-Orem, UT MSA",1062,1070,1226,1742,2088
METRO39380M39380,"Pueblo, CO MSA",869,911,1199,1569,1785
METRO39460M39460,"Punta Gorda, FL MSA",994,1095,1357,1929,2311
METRO39540M39540,"Racine, WI MSA",716,816,1071,1395,1563
METRO39580M39580,"Raleigh, NC MSA",1313,1353,1528,1875,2481
METRO39660M39660,"Rapid City, SD HUD Metro FMR Area",702,798,1050,1450,1593
METRO39660N46093,"Meade County, SD HUD Metro FMR Area",721,820,1079,1434,1838
METRO39740M39740,"Reading, PA MSA",829,975,1240,1552,1666
METRO39820M39820,"Redding, CA MSA",951,1081,1423,2022,2424
METRO39900M39900,"Reno, NV MSA",1151,1365,1722,2447,2933
METRO40060M40060,"Richmond, VA MSA",1244,1271,1436,1856,2258
METRO40060M51097,"King and Queen County, VA HUD Metro FMR Area",827,846,955,1357,1503
METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",1404,1533,1920,2605,3204
METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",769,854,1053,1444,1630
METRO40220N51067,"Franklin County, VA HUD Metro FMR Area",720,729,960,1168,1313
METRO40340M40340,"Rochester, MN HUD Metro FMR Area",919,1069,1328,1887,2262
METRO40340N27045,"Fillmore County, MN HUD Metro FMR Area",694,698,919,1246,1393
METRO40340N27157,"Wabasha County, MN HUD Metro FMR Area",630,772,877,1246,1494
METRO40380M40380,"Rochester, NY HUD Metro FMR Area",891,1009,1260,1533,1693
METRO40380N36123,"Yates County, NY HUD Metro FMR Area",709,806,1061,1419,1425
METRO40420M40420,"Rockford, IL MSA",667,758,998,1347,1398
METRO40580M40580,"Rocky Mount, NC MSA",772,777,965,1312,1435
METRO40660M40660,"Rome, GA MSA",774,779,1026,1337,1600
METRO40900M40900,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",1384,1518,1904,2706,3152
METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",1517,1539,2026,2803,3362
METRO40980M40980,"Saginaw, MI MSA",663,753,991,1262,1331
METRO41060M41060,"St. Cloud, MN MSA",803,832,1035,1393,1653
METRO41100M41100,"St. George, UT MSA",966,1058,1282,1813,2184
METRO41140M41140,"St. Joseph, MO-KS MSA",619,703,926,1201,1299
METRO41180M41180,"St. Louis, MO-IL HUD Metro FMR Area",802,853,1071,1387,1621
METRO41180N17005,"Bond County, IL HUD Metro FMR Area",545,705,815,1085,1231
METRO41180N17117,"Macoupin County, IL HUD Metro FMR Area",617,621,818,1088,1212
METRO41420M41420,"Salem, OR MSA",982,1040,1323,1880,2164
METRO41500M41500,"Salinas, CA MSA",2236,2324,2833,4014,4389
METRO41540M41540,"Salisbury, MD HUD Metro FMR Area",919,925,1218,1617,1756
METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",822,928,1222,1594,1942
METRO41540N24039,"Somerset County, MD HUD Metro FMR Area",761,767,1009,1350,1355
METRO41540N24047,"Worcester County, MD HUD Metro FMR Area",901,906,1062,1509,1809
METRO41620M41620,"Salt Lake City, UT HUD Metro FMR Area",1123,1345,1608,2204,2468
METRO41620N49045,"Tooele County, UT HUD Metro FMR Area",782,889,1170,1596,1993
METRO41660M41660,"San Angelo, TX HUD Metro FMR Area",756,903,1131,1480,1911
METRO41660M48431,"Sterling County, TX HUD Metro FMR Area",758,905,1133,1481,1912
METRO41700M41700,"San Antonio-New Braunfels, TX HUD Metro FMR Area",988,1138,1380,1755,2139
METRO41700N48013,"Atascosa County, TX HUD Metro FMR Area",821,1016,1147,1396,1891
METRO41700N48259,"Kendall County, TX HUD Metro FMR Area",1056,1279,1580,1923,2418
METRO41700N48325,"Medina County, TX HUD Metro FMR Area",789,837,1102,1445,1480
METRO41740M41740,"San Diego-Carlsbad, CA MSA",1868,2055,2615,3574,4347
METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1826,2169,2649,3462,4082
METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",2427,3000,3590,4406,4823
METRO41900M41900,"San German, PR MSA",412,447,505,663,756
METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",2443,2763,3233,4122,4619
METRO41940N06069,"San Benito County, CA HUD Metro FMR Area",1503,1708,2248,3195,3829
METRO41980M21940,"Fajardo, PR HUD Metro FMR Area",514,525,593,799,946
METRO41980MM1310,"Caguas, PR HUD Metro FMR Area",472,484,554,787,944
METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",548,560,633,900,1078
METRO41980N72923,"Barranquitas-Aibonito, PR HUD Metro FMR Area",414,440,497,670,815
METRO42020M42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",1507,1688,2222,3064,3412
METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",2301,2602,3425,4240,4751
METRO42140M42140,"Santa Fe, NM MSA",1048,1198,1376,1760,1956
METRO42200M42200,"Santa Maria-Santa Barbara, CA MSA",2162,2490,2826,3730,4240
METRO42220M42220,"Santa Rosa, CA MSA",1646,1848,2432,3349,3624
METRO42340M42340,"Savannah, GA MSA",1116,1204,1360,1857,2174
METRO42540M42540,"Scranton--Wilkes-Barre, PA MSA",743,868,1061,1372,1491
METRO42660MM7600,"Seattle-Bellevue, WA HUD Metro FMR Area",1956,2011,2351,3157,3684
METRO42660MM8200,"Tacoma, WA HUD Metro FMR Area",1267,1411,1773,2520,2956
METRO42680M42680,"Sebastian-Vero Beach, FL MSA",882,1094,1319,1700,2195
METRO42700M42700,"Sebring, FL MSA",774,830,1092,1357,1637
METRO43100M43100,"Sheboygan, WI MSA",643,769,929,1217,1331
METRO43300M43300,"Sherman-Denison, TX MSA",775,951,1110,1500,1853
METRO43340M43340,"Shreveport-Bossier City, LA MSA",776,939,1106,1379,1523
METRO43420M43420,"Sierra Vista-Douglas, AZ MSA",774,825,1026,1458,1748
METRO43580M43580,"Sioux City, IA-NE-SD MSA",659,748,985,1209,1323
METRO43620M43620,"Sioux Falls, SD MSA",749,837,1001,1344,1705
METRO43780M43780,"South Bend-Mishawaka, IN HUD Metro FMR Area",813,995,1184,1505,1591
METRO43780N26027,"Cass County, MI HUD Metro FMR Area",752,784,966,1298,1410
METRO43900M43900,"Spartanburg, SC MSA",896,922,1041,1353,1399
METRO44060M44060,"Spokane, WA HUD Metro FMR Area",860,980,1269,1803,2105
METRO44060N53065,"Stevens County, WA HUD Metro FMR Area",666,744,974,1384,1659
METRO44100M44100,"Springfield, IL MSA",646,786,966,1266,1330
METRO44140M25011,"Franklin County, MA HUD Metro FMR Area",923,1066,1381,1711,1975
METRO44140M44140,"Springfield, MA HUD Metro FMR Area",877,1059,1312,1606,1930
METRO44180M44180,"Springfield, MO HUD Metro FMR Area",713,717,918,1291,1457
METRO44180N29059,"Dallas County, MO HUD Metro FMR Area",606,610,786,1102,1104
METRO44180N29167,"Polk County, MO HUD Metro FMR Area",613,617,794,1042,1193
METRO44220M44220,"Springfield, OH MSA",639,726,955,1164,1283
METRO44300M44300,"State College, PA MSA",1184,1206,1395,1711,1874
METRO44420M44420,"Staunton-Waynesboro, VA MSA",875,880,1050,1465,1789
METRO44700M44700,"Stockton-Lodi, CA MSA",1129,1257,1642,2334,2797
METRO44940M44940,"Sumter, SC HUD Metro FMR Area",721,882,1079,1313,1476
METRO44940M45027,"Clarendon County, SC HUD Metro FMR Area",635,639,841,1030,1248
METRO45060M45060,"Syracuse, NY MSA",852,953,1179,1453,1679
METRO45220M45220,"Tallahassee, FL HUD Metro FMR Area",965,1086,1258,1625,1788
METRO45220N12129,"Wakulla County, FL HUD Metro FMR Area",862,968,1114,1356,1638
METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",1390,1488,1787,2287,2804
METRO45460M18121,"Parke County, IN HUD Metro FMR Area",670,689,907,1126,1218
METRO45460M45460,"Terre Haute, IN HUD Metro FMR Area",683,723,908,1105,1366
METRO45460N18153,"Sullivan County, IN HUD Metro FMR Area",586,666,877,1067,1266
METRO45500M45500,"Texarkana, TX-Texarkana, AR HUD Metro FMR Area",744,748,940,1171,1525
METRO45500N05081,"Little River County, AR HUD Metro FMR Area",579,583,767,1090,1306
METRO45540M45540,"The Villages, FL MSA",891,896,1180,1523,1585
METRO45780M39123,"Ottawa County, OH HUD Metro FMR Area",651,740,974,1185,1342
METRO45780M45780,"Toledo, OH HUD Metro FMR Area",675,739,960,1291,1388
METRO45820M45820,"Topeka, KS MSA",729,734,966,1230,1427
METRO45940M45940,"Trenton, NJ MSA",1262,1439,1887,2297,2535
METRO46060M46060,"Tucson, AZ MSA",837,951,1252,1779,2083
METRO46140M46140,"Tulsa, OK HUD Metro FMR Area",755,830,1048,1381,1613
METRO46140N40111,"Okmulgee County, OK HUD Metro FMR Area",644,648,853,1104,1343
METRO46140N40117,"Pawnee County, OK HUD Metro FMR Area",570,668,853,1124,1453
METRO46220M01063,"Greene County, AL HUD Metro FMR Area",650,654,829,1009,1114
METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",865,871,1079,1353,1449
METRO46220N01107,"Pickens County, AL HUD Metro FMR Area",589,593,781,1033,1049
METRO46300N16053,"Jerome County, ID HUD Metro FMR Area",697,792,1042,1456,1723
METRO46300N16083,"Twin Falls County, ID HUD Metro FMR Area",723,821,1081,1510,1788
METRO46340M46340,"Tyler, TX MSA",982,987,1206,1554,1902
METRO46520M46520,"Urban Honolulu, HI MSA",1723,1892,2477,3520,4219
METRO46540M46540,"Utica-Rome, NY MSA",806,811,1020,1241,1470
METRO46660M46660,"Valdosta, GA MSA",721,725,948,1292,1494
METRO46700M46700,"Vallejo-Fairfield, CA MSA",1566,1776,2152,3058,3580
METRO47020M47020,"Victoria, TX MSA",925,1002,1246,1587,1790
METRO47220M47220,"Vineland-Bridgeton, NJ MSA",1156,1206,1552,2048,2194
METRO47260M37029,"Camden County, NC HUD Metro FMR Area",768,780,910,1293,1550
METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",1192,1215,1420,1984,2419
METRO47260N37073,"Gates County, NC HUD Metro FMR Area",849,863,1006,1312,1626
METRO47260N51175,"Southampton County-Franklin city, VA HUD Metro FMR Area",842,856,998,1303,1700
METRO47300M47300,"Visalia-Porterville, CA MSA",883,907,1194,1661,1915
METRO47380M47380,"Waco, TX HUD Metro FMR Area",758,840,1064,1396,1446
METRO47380N48145,"Falls County, TX HUD Metro FMR Area",625,729,877,1246,1494
METRO47460M47460,"Walla Walla, WA MSA",896,1018,1340,1882,2096
METRO47580M47580,"Warner Robins, GA HUD Metro FMR Area",906,998,1127,1530,1808
METRO47580N13225,"Peach County, GA HUD Metro FMR Area",657,746,982,1248,1374
METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",1711,1740,1980,2476,2954
METRO47900M51113,"Madison County, VA HUD Metro FMR Area",768,773,1018,1267,1512
METRO47900MM3630,"Jefferson County, WV HUD Metro FMR Area",861,866,1067,1516,1817
METRO47900MM8820,"Warren County, VA HUD Metro FMR Area",872,878,1156,1530,1969
METRO47900N51047,"Culpeper County, VA HUD Metro FMR Area",948,954,1256,1631,2033
METRO47900N51157,"Rappahannock County, VA HUD Metro FMR Area",1029,1035,1200,1512,1783
METRO47940M47940,"Waterloo-Cedar Falls, IA HUD Metro FMR Area",666,785,990,1316,1686
METRO47940N19017,"Bremer County, IA HUD Metro FMR Area",677,703,926,1161,1244
METRO48060M48060,"Watertown-Fort Drum, NY MSA",891,1013,1333,1802,2130
METRO48140M48140,"Wausau, WI HUD Metro FMR Area",665,756,995,1273,1357
METRO48140M55069,"Lincoln County, WI HUD Metro FMR Area",586,681,877,1239,1288
METRO48260M48260,"Weirton-Steubenville, WV-OH MSA",661,666,848,1145,1229
METRO48300M48300,"Wenatchee, WA MSA",891,1096,1332,1821,2099
METRO48325M48325,"Westchester County, NY Statutory Exception Area",1545,1796,2183,2706,2994
METRO48540M48540,"Wheeling, WV-OH MSA",604,694,887,1151,1316
METRO48620M48620,"Wichita, KS HUD Metro FMR Area",653,747,977,1294,1579
METRO48620N20191,"Sumner County, KS HUD Metro FMR Area",600,681,897,1133,1251
METRO48660M48660,"Wichita Falls, TX MSA",752,814,996,1346,1540
METRO48700M48700,"Williamsport, PA MSA",771,848,1028,1324,1422
METRO48900M48900,"Wilmington, NC HUD Metro FMR Area",920,1195,1358,1801,2313
METRO48900N37141,"Pender County, NC HUD Metro FMR Area",737,944,1066,1483,1691
METRO49020M49020,"Winchester, VA-WV MSA",952,1041,1328,1674,2205
METRO49180M49180,"Winston-Salem, NC HUD Metro FMR Area",826,859,1034,1366,1586
METRO49180N37057,"Davidson County, NC HUD Metro FMR Area",700,705,893,1188,1516
METRO49340M49340,"Worcester, MA HUD Metro FMR Area",1318,1361,1750,2130,2351
METRO49340MM1120,"Eastern Worcester County, MA HUD Metro FMR Area",1208,1372,1806,2448,2912
METRO49340MM2600,"Fitchburg-Leominster, MA HUD Metro FMR Area",1054,1116,1448,1864,2176
METRO49340N09015,"Windham County, CT HUD Metro FMR Area",1090,1097,1444,1798,2346
METRO49340N25027,"Western Worcester County, MA HUD Metro FMR Area",988,1001,1317,1794,1932
METRO49420M49420,"Yakima, WA MSA",916,922,1214,1725,1813
METRO49500M49500,"Yauco, PR MSA",411,421,475,636,638
METRO49620M49620,"York-Hanover, PA MSA",838,938,1198,1559,1667
METRO49660M49660,"Youngstown-Warren-Boardman, OH HUD Metro FMR Area",612,675,848,1121,1189
METRO49660MM7610,"Sharon, PA HUD Metro FMR Area",676,680,875,1178,1242
METRO49700M49700,"Yuba City, CA MSA",1071,1078,1375,1954,2342
METRO49740M49740,"Yuma, AZ MSA",886,892,1174,1657,2000
NCNTY01005N01005,"Barbour County, AL",592,596,784,997,1053
NCNTY01011N01011,"Bullock County, AL",685,697,906,1104,1357
NCNTY01013N01013,"Butler County, AL",620,715,820,998,1102
NCNTY01017N01017,"Chambers County, AL",741,746,982,1195,1319
NCNTY01019N01019,"Cherokee County, AL",609,620,805,1017,1164
NCNTY01023N01023,"Choctaw County, AL",591,593,781,972,1330
NCNTY01025N01025,"Clarke County, AL",591,604,781,1110,1330
NCNTY01027N01027,"Clay County, AL",549,661,781,1056,1218
NCNTY01029N01029,"Cleburne County, AL",591,626,781,1018,1170
NCNTY01031N01031,"Coffee County, AL",660,679,873,1241,1359
NCNTY01035N01035,"Conecuh County, AL",591,691,781,1064,1170
NCNTY01037N01037,"Coosa County, AL",619,629,818,996,1226
NCNTY01039N01039,"Covington County, AL",589,593,781,1040,1281
NCNTY01041N01041,"Crenshaw County, AL",591,593,781,951,1049
NCNTY01043N01043,"Cullman County, AL",704,735,915,1231,1263
NCNTY01045N01045,"Dale County, AL",668,672,781,1110,1330
NCNTY01047N01047,"Dallas County, AL",632,636,837,1019,1124
NCNTY01049N01049,"DeKalb County, AL",591,611,781,1071,1217
NCNTY01053N01053,"Escambia County, AL",591,640,781,998,1229
NCNTY01057N01057,"Fayette County, AL",591,691,781,976,1170
NCNTY01059N01059,"Franklin County, AL",591,691,781,951,1321
NCNTY01071N01071,"Jackson County, AL",604,673,799,972,1347
NCNTY01075N01075,"Lamar County, AL",591,647,781,1068,1170
NCNTY01087N01087,"Macon County, AL",612,615,809,1024,1378
NCNTY01091N01091,"Marengo County, AL",591,691,781,980,1170
